name,business_status,price_level,place_id,rating,types,lat,lng,open,neighborhood,pull_date,pull_datetime,pull_week
Seawalk,OPERATIONAL,2,ChIJhTKflvjzwokR9F_zpPR7dxo,4.2,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8668027,-73.92852839999999,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Guadalupe Restaurant,OPERATIONAL,2,ChIJv-bh-PbzwokR-AR_g9KRXLY,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8673791,-73.9206974,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Beans and Vines,OPERATIONAL,2,ChIJTaniGPjzwokR0CCnk5OnNOI,4.5,"c(""cafe"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8664087,-73.925449,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
RAICES RESTAURANT,OPERATIONAL,2,ChIJ1UzSXPbzwokRusThyyHwsPg,4.2,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8664614,-73.9200457,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Unique,OPERATIONAL,NA,ChIJEyAHVazzwokRqeDuj6t3bvo,4.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8669843,-73.9209449,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Tryon Public House,OPERATIONAL,2,ChIJ44_9bwf0wokR1KavbylvSlc,4.4,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8650136,-73.9278636,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Indian Road Cafe,OPERATIONAL,2,ChIJcxSIIPLzwokRv6sz1q2Sxgc,4.4,"c(""cafe"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8728492,-73.9183465,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Taqueria Emilio,OPERATIONAL,NA,ChIJtQupQ_bzwokR1zGJQAvFso4,4.4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8662563,-73.9200295,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Brown Sugar Bar & Restaurant,CLOSED_TEMPORARILY,2,ChIJT40YdfPzwokRohbdynCkc5g,4.2,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8699263,-73.9154588,FALSE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Cañave,OPERATIONAL,2,ChIJyylCGFn1wokRtf1VaOzHlAk,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8645407,-73.9288904,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Tannat,OPERATIONAL,NA,ChIJ5dAFbAf0wokRnzzsTHELmR8,4.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8647879,-73.9282418,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Garden Café,OPERATIONAL,2,ChIJ6TCT6PbzwokRfsZUbEWFNWk,4.3,"c(""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8681653,-73.92052799999999,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Mamajuana Cafe,OPERATIONAL,2,ChIJ4SwImvjzwokReBpQlpMwuYw,4.1,"c(""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8664891,-73.9280265,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Il Sole,OPERATIONAL,2,ChIJU967hPjzwokRsmZImZzGggw,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8661547,-73.9276251,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
Pizza Palace,OPERATIONAL,1,ChIJkXfgMAb0wokR6dl8IQPbmhI,4.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8624833,-73.9250977,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
The Hudson,OPERATIONAL,2,ChIJGfQD5f7zwokRvKJ7ouEAXXQ,3.9,"c(""night_club"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.868965,-73.931878,TRUE,Inwood,2020-05-23,2020-05-24T00:32:29Z,NA
