name,business_status,price_level,place_id,rating,types,lat,lng,open,neighborhood,pull_date,pull_datetime,pull_week
Beans and Vines,OPERATIONAL,2,ChIJTaniGPjzwokR0CCnk5OnNOI,4.5,"c(""cafe"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8664087,-73.925449,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Guadalupe Restaurant,OPERATIONAL,2,ChIJv-bh-PbzwokR-AR_g9KRXLY,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8673791,-73.9206974,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Bocaditos Bistro,OPERATIONAL,2,ChIJD6voiPfzwokR8Z2OcFVNnLU,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8668707,-73.9239955,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Unique,OPERATIONAL,NA,ChIJEyAHVazzwokRqeDuj6t3bvo,4.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8669843,-73.9209449,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Indian Road Cafe,OPERATIONAL,2,ChIJcxSIIPLzwokRv6sz1q2Sxgc,4.4,"c(""cafe"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8728492,-73.9183465,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Inwood Bar & Grill,OPERATIONAL,2,ChIJrY34o_fzwokRWEo4U7Aw8r8,4.6,"c(""night_club"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8670557,-73.9224569,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Seawalk,OPERATIONAL,2,ChIJhTKflvjzwokR9F_zpPR7dxo,4.2,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8668027,-73.92852839999999,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Garden Café,OPERATIONAL,2,ChIJ6TCT6PbzwokRfsZUbEWFNWk,4.3,"c(""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8681653,-73.92052799999999,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Tryon Public House,OPERATIONAL,2,ChIJ44_9bwf0wokR1KavbylvSlc,4.4,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8650136,-73.9278636,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Tannat,OPERATIONAL,NA,ChIJ5dAFbAf0wokRnzzsTHELmR8,4.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8647879,-73.9282418,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Pizza Palace,OPERATIONAL,1,ChIJkXfgMAb0wokR6dl8IQPbmhI,4.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8624833,-73.9250977,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Galicia Tapas,OPERATIONAL,NA,ChIJM72y7c_zwokR5GE8rEiyNRQ,4.8,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8667205,-73.9203661,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Brown Sugar Bar & Restaurant,CLOSED_TEMPORARILY,2,ChIJT40YdfPzwokRohbdynCkc5g,4.2,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8699263,-73.9154588,FALSE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
RAICES RESTAURANT,OPERATIONAL,2,ChIJ1UzSXPbzwokRusThyyHwsPg,4.2,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8664614,-73.9200457,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Taqueria Emilio,OPERATIONAL,NA,ChIJtQupQ_bzwokR1zGJQAvFso4,4.4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8662563,-73.9200295,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Mamajuana Cafe,OPERATIONAL,2,ChIJ4SwImvjzwokReBpQlpMwuYw,4.1,"c(""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8664891,-73.9280265,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Il Sole,OPERATIONAL,2,ChIJU967hPjzwokRsmZImZzGggw,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8661547,-73.9276251,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Cachapas y Mas,OPERATIONAL,1,ChIJ2wU1Owb0wokRSpCLX-FXJtM,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.86211429999999,-73.9247932,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Cañave,OPERATIONAL,2,ChIJyylCGFn1wokRtf1VaOzHlAk,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8645407,-73.9288904,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Mamasushi,OPERATIONAL,2,ChIJPfElm_jzwokR5ydaVGeUVI4,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8661847,-73.9278084,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Papasito,OPERATIONAL,2,ChIJobAU-ST2wokRxSQ2IhzFyCk,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.865912,-73.927437,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Boca Chica Seafood,OPERATIONAL,NA,ChIJ1zmOU_bzwokRx89eaDxJ9Hg,4.6,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8668387,-73.9210417,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Burgos Restaurant cafe,OPERATIONAL,NA,ChIJtaupggf0wokRvKf2IGq7JCY,4.5,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8649997,-73.92715369999999,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Pat'e Palo Bar & Grill,OPERATIONAL,2,ChIJoYE5l_jzwokRzEUu3nKSI0Y,4.1,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8665494,-73.9282128,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Grandpa's Brick Oven Pizza,OPERATIONAL,1,ChIJQZshvvbzwokRyi-Ol3UYiXc,4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8684152,-73.9194949,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Luxor NY,OPERATIONAL,NA,ChIJxeZxsYn1wokRJz_z8FVl-BM,4.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8616554,-73.9206428,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Patacon Pisao Truck,OPERATIONAL,1,ChIJLxQhFgn0wokR5DjeAD5Fdao,4.7,"c(""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8613043,-73.92020649999999,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Lina Restaurant,OPERATIONAL,NA,ChIJ50OCI_v1wokRTj1fTZzahXE,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8644195,-73.91930169999999,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
Elsa La Reina del Chicharron,OPERATIONAL,2,ChIJH2stGfjzwokR8FZeRLxjKbY,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8662471,-73.9247149,TRUE,Inwood,2020-06-04,2020-06-04T18:30:31Z,23
