name,business_status,price_level,place_id,rating,types,lat,lng,open,old_neighborhood,neighborhood,borough,pull_date,pull_datetime,pull_week
Allerton Diner,OPERATIONAL,1,ChIJ4_7pQl3zwokRiKoyTyqknwM,3.8,"c(""restaurant"", ""meal_delivery"", ""food"", ""point_of_interest"", ""establishment"")",40.8653296,-73.8646203,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
China Mia,OPERATIONAL,1,ChIJN1qURmDzwokR5Vjk2Laocec,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8584813,-73.86735399999999,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Vesuvio Pizza,OPERATIONAL,1,ChIJ98fms2fzwokRCmpRr5co1EU,4.5,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652694,-73.8680202,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Esis,OPERATIONAL,1,ChIJndmx9WfzwokRLjLCTcFCkYQ,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.86565110000001,-73.8657281,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Tessey’s International Kitchen (T.I.K.),OPERATIONAL,NA,ChIJzx6jZNXzwokRJonWnWR8eq4,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8640944,-73.8671026,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Roma Pizza,OPERATIONAL,1,ChIJeVVd9GfzwokR4h04y5Vsf3Q,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8656452,-73.8657937,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
IHOP,OPERATIONAL,1,ChIJXSohJl3zwokRMRJxOiqmZk8,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8657626,-73.8627053,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Smile Restaurant 😎,OPERATIONAL,1,ChIJ2RmgQV3zwokRN-0bEo55seU,4.3,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652997,-73.8642351,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Zymi,OPERATIONAL,NA,ChIJLc6BYmDzwokRuQZnG1fmn20,4.4,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8594314,-73.8662887,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Prego's Pizza,OPERATIONAL,NA,ChIJt0_1dVvzwokREF04CAMTWOc,4.4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8631627,-73.8583408,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Boesun,OPERATIONAL,NA,ChIJ016xYF3zwokRrhlCYbRFAng,4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652743,-73.86490739999999,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Estrellita Poblana II,OPERATIONAL,2,ChIJP5GNdmjzwokRZ1PhLwuqawg,4.3,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8670839,-73.86754309999999,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
