n,id,2020-05-23,2020-05-24
1,104,NA,Bodega Pizza
1,227,NA,107 West
1,293,NA,FRI ITZ
1,395,NA,Ravagh
1,405,NA,Nica Trattoria
1,406,NA,The Simone
1,475,NA,Kochi
1,477,NA,Ñaño Ecuadorian Kitchen
1,524,NA,The Counter - Temporarily Closed
1,528,NA,Utsav
1,529,NA,Friedman's Kitchen + Bar
1,532,NA,Dallas BBQ
1,535,NA,The View Restaurant & Lounge
1,538,NA,"Buca di Beppo Italian Restaurant | Open for Pick Up, Curbside or Delivery"
1,539,NA,Playwright
1,540,NA,BXL Cafe
1,570,NA,Aquavit
1,589,NA,The Halal Guys
1,659,NA,Tenho Ramen
1,660,NA,Tacos Grand Central
1,720,NA,TAO Downtown Restaurant
1,780,NA,La Pizza Fresca Ristorante
1,927,NA,Brodo - East Village
1,947,NA,Auriga Café
1,1079,NA,Villa Mosconi
1,1115,NA,Crepes n things
1,1379,NA,"TRAMEZZINI NYC, Sandwiches of Venice & Italian Eatery"
1,1413,NA,La Bella Vita
1,1431,NA,Taiyaki NYC
1,1534,NA,XO Kitchen Restaurant食坊
1,1619,NA,Go! Go! Curry World Trade Center
1,1673,NA,Noodle Q
1,1740,NA,The Oyster House at Pier A
1,1917,Fresco's Pizzeria,NA
1,2040,Ferris Booth Commons,NA
1,2070,Sidewalk Tacos,NA
1,2181,Sushi jin,NA
1,2215,The Drunken Munkey - UES,NA
1,2220,Maison Bangkok,NA
1,2269,Ponche Taqueria,NA
1,2279,La Bergamote,NA
1,2280,The Landmark Tavern,NA
1,2318,Natsumi,NA
1,2321,Aldo Sohm Wine Bar,NA
1,2325,db Bistro Moderne,NA
1,2327,Ruth's Chris Steak House,NA
1,2331,Ted's Montana Grill,NA
1,2337,The Mean Fiddler,NA
1,2338,Kodama Sushi,NA
1,2430,Scotty's Diner,NA
1,2458,Sai Gon Dep,NA
1,2515,Omai,NA
1,2577,SERRA by Birreria,NA
1,2727,Mokyo,NA
1,2760,Borrachito,NA
1,2879,Cuba,NA
1,2940,Zero Bond,NA
1,3141,Hana,NA
1,3213,Little Italy,NA
1,3334,XO Kitchen Restaurant,NA
1,3343,Tofu Tofu,NA
1,3407,Wok Wok,NA
1,3415,Centre Melts,NA
1,3418,New Fresco Tortillas,NA
1,3426,Cheong Fun Cart on Rutgers,NA
1,3480,iM Star Cafe,NA
1,3540,Fuku at Brookfield Place,NA
1,3599,MarkJoseph Steakhouse,NA
1,3600,Route 66 Smokehouse,NA
2,1,NA,Seawalk
2,2,NA,Guadalupe Restaurant
2,3,NA,Beans and Vines
2,4,NA,RAICES RESTAURANT
2,5,NA,Unique
2,6,NA,Tryon Public House
2,7,NA,Taqueria Emilio
2,8,NA,Indian Road Cafe
2,9,NA,Brown Sugar Bar & Restaurant
2,10,NA,Cañave
2,11,NA,Tannat
2,12,NA,Garden Café
2,13,NA,Mamajuana Cafe
2,14,NA,Il Sole
2,15,NA,The Hudson
2,16,NA,Pizza Palace
2,17,NA,Bocaditos Bistro
2,18,NA,Pat'e Palo Bar & Grill
2,19,NA,The Park View
2,20,NA,Papasito
2,21,NA,Mamasushi
2,22,NA,Inwood Bar & Grill
2,23,NA,Dyckman Express
2,24,NA,Grandpa's Brick Oven Pizza
2,25,NA,Cachapas y Mas
2,26,NA,Burgos Restaurant cafe
2,27,NA,Boca Chica Seafood
2,28,NA,Luxor NY
2,29,NA,Lina Restaurant
2,30,NA,Galicia Tapas
2,31,NA,Pick and Eat
2,33,NA,La Lomita
2,34,NA,Patacon Pisao Truck
2,35,NA,La Nueva España
2,36,NA,Capitol Diner
2,37,NA,Dyckman Dogs
2,38,NA,Lotus Express
2,39,NA,Yummy Thai
2,40,NA,Fresh Tortillas
2,41,NA,Pop & Pour
